Year,Age,Player,Tm,Pos,No.,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,NY/A,ANY/A,Sk%,4QC,GWD,AV,Salary
2019,25,Jameis Winston,TAM,QB,3,16,16,7-9-0,380,626,60.7,5109,33,5.3,30,4.8,243,71,8.2,7.1,13.4,319.3,84.3,,47,282,7.17,6.15,7.0,2,2,15,6337819
2019,22,Kyler Murray,ARI,QB,1,16,16,5-10-1,349,542,64.4,3722,20,3.7,12,2.2,173,88,6.9,6.6,10.7,232.6,87.4,,48,309,5.78,5.55,8.1,1,2,14,8789661
2019,24,Baker Mayfield,CLE,QB,6,16,16,6-10-0,317,534,59.4,3827,22,4.1,21,3.9,179,89,7.2,6.2,12.1,239.2,78.8,,40,285,6.17,5.29,7.0,1,1,11,8170745
2019,25,Mitchell Trubisky,CHI,QB,10,15,15,8-7-0,326,516,63.2,3138,17,3.3,10,1.9,156,53,6.1,5.9,9.6,209.2,83.0,,38,234,5.24,5.04,6.9,3,3,8,7258106
2019,24,Deshaun Watson,HOU,QB,4,15,15,10-5-0,333,495,67.3,3852,26,5.3,12,2.4,191,54,7.8,7.7,11.6,256.8,98.0,,44,257,6.67,6.63,8.2,3,5,16,3463570
2019,24,Patrick Mahomes,KAN,QB,15,14,14,11-3-0,319,484,65.9,4031,26,5.4,5,1.0,176,83,8.3,8.9,12.6,287.9,105.3,,17,127,7.79,8.38,3.4,1,1,17,4106447
2019,23,Gardner Minshew,JAX,QB,15,14,12,6-6-0,285,470,60.6,3271,21,4.5,6,1.3,150,70,7.0,7.3,11.5,233.6,91.2,,33,184,6.14,6.44,6.6,3,3,10,677721
2019,23,Josh Allen,BUF,QB,17,16,16,10-6-0,271,461,58.8,3089,20,4.3,9,2.0,146,53,6.7,6.7,11.4,193.1,85.3,,38,237,5.72,5.71,7.6,4,5,11,5295760
2019,22,Daniel Jones,NYG,QB,8,13,12,3-9-0,284,459,61.9,3027,24,5.2,12,2.6,140,75,6.6,6.5,10.7,232.8,87.7,,38,295,5.50,5.38,7.6,1,2,9,6416014
2019,22,Sam Darnold,NYJ,QB,14,13,13,7-6-0,273,441,61.9,3024,19,4.3,13,2.9,147,92,6.9,6.4,11.1,232.6,84.3,,33,212,5.93,5.50,7.0,2,3,6,7561929
2019,22,Lamar Jackson,BAL,QB,8,15,15,13-2-0,265,401,66.1,3127,36,9.0,6,1.5,161,83,7.8,8.9,11.8,208.5,113.3,,23,106,7.13,8.19,5.4,1,2,25,2367912
2019,24,Mason Rudolph,PIT,QB,2,10,8,5-3-0,176,283,62.2,1765,13,4.6,9,3.2,80,76,6.2,5.7,10.0,176.5,82.0,,15,124,5.51,5.02,5.0,1,1,3,980472
2019,22,Dwayne Haskins,WAS,qb,7,9,7,2-5-0,119,203,58.6,1365,7,3.4,7,3.4,65,75,6.7,5.9,11.5,151.7,76.1,,29,204,5.00,4.25,12.5,1,1,3,3604153
2019,24,David Blough,DET,qb,10,5,5,0-5-0,94,174,54.0,984,4,2.3,6,3.4,47,75,5.7,4.6,10.5,196.8,64.0,,14,104,4.68,3.67,7.4,,,-1,591667
2019,23,Devlin Hodges,PIT,qb,6,8,6,3-3-0,100,160,62.5,1063,5,3.1,8,5.0,51,79,6.6,5.0,10.6,132.9,71.4,,15,102,5.49,4.01,8.6,0,1,0,540000
2019,23,Drew Lock,DEN,qb,3,5,5,4-1-0,100,156,64.1,1020,7,4.5,3,1.9,54,48,6.5,6.6,10.2,204.0,89.7,,5,26,6.17,6.20,3.1,1,2,3,1752704
2019,22,Josh Rosen,MIA,,3,6,3,0-3-0,58,109,53.2,567,1,0.9,5,4.6,26,40,5.2,3.3,9.8,94.5,52.0,,16,93,3.79,2.15,12.8,,,1,4399439
2018,25,C.J. Beathard,SFO,qb,3,6,5,0-5-0,102,169,60.4,1252,8,4.7,7,4.1,60,82,7.4,6.5,12.3,208.7,81.8,37.3,18,156,5.86,5.03,9.6,,,3,882162
